table_id,image_file,class,order,alliance,association,releve_id,ref_code,map_reference,latitude,longitude,altitude_ft,altitude_m,aspect_deg,slope_deg,cover_pct,plot_area_m2,species,domin_value,presence_binary,raw_value,constancy_class,summary_value,total_species_reported,needs_review,note
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Festuca rubra,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Festuca rubra,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Festuca rubra,2,1,2,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Festuca rubra,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Festuca rubra,x,1,✗,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Festuca rubra,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Festuca rubra,.,0,.,II,0.5,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Sedum anglicum,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Sedum anglicum,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Sedum anglicum,.,0,.,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,4,B68-190,156555,,,400,122,270,10,90,1,Sedum anglicum,3,1,3,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,5,B67-88A,512198,,,200,61,270,10,90,1,Sedum anglicum,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,6,B66-3,430190,,,350,107,180,15,80,1,Sedum anglicum,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,7,B68-94A,524627,,,200,61,270,10,75,0.5,Sedum anglicum,x,1,✗,III,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,1,B68-155,504446,,,200,61,180,10,85,0.5,Antitrichia curtipendula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,2,B68-156,504446,,,200,61,135,40,90,1,Antitrichia curtipendula,.,0,.,II,0.8,38,false,
Hedwigia ciliata-Parmelia saxatilis,manual_prototype_from_user_paste,EPIPETRETEA LICHENOSA,RHIZOCARPETALIA,Parmelion saxatilis,Hedwigia ciliata-Parmelia saxatilis,3,B68-157,508448,,,150,46,135,15,80,1,Antitrichia curtipendula,3,1,3,II,0.8,38,false,
